≈Date,Category,Amount,Description
2024-01-05,Food,45.50,Grocery shopping
2024-01-06,Transport,15.00,Uber to work
2024-01-08,Entertainment,30.00,Movie tickets
2024-01-10,Food,60.00,Restaurant dinner
2024-01-12,Bills,120.00,Electricity bill
2024-01-15,Shopping,85.00,New shoes
2024-01-18,Food,38.00,Lunch
2024-01-20,Transport,12.00,Bus ticket
2024-01-22,Health,50.00,Pharmacy
2024-01-25,Food,55.00,Grocery shopping
2024-02-02,Food,42.00,Grocery shopping
2024-02-05,Transport,18.00,Taxi
2024-02-08,Entertainment,45.00,Concert ticket
2024-02-10,Food,70.00,Restaurant
2024-02-12,Bills,120.00,Electricity bill
2024-02-15,Shopping,120.00,Clothes
2024-02-18,Food,35.00,Coffee shop
2024-02-20,Transport,15.00,Uber
2024-02-22,Health,80.00,Doctor visit
2024-02-25,Food,48.00,Grocery shopping
2024-03-01,Food,50.00,Grocery shopping
2024-03-04,Transport,20.00,Gas
2024-03-07,Entertainment,25.00,Streaming service
2024-03-10,Food,65.00,Restaurant
2024-03-12,Bills,120.00,Electricity bill
2024-03-15,Shopping,95.00,Books
2024-03-18,Food,40.00,Lunch
2024-03-20,Transport,14.00,Bus
2024-03-22,Health,45.00,Vitamins
2024-03-25,Food,52.00,Grocery shopping
2024-04-02,Food,47.00,Grocery shopping
2024-04-05,Transport,22.00,Uber
2024-04-08,Entertainment,35.00,Game subscription
2024-04-10,Food,75.00,Restaurant
2024-04-12,Bills,120.00,Electricity bill
2024-04-15,Shopping,110.00,Electronics
2024-04-18,Food,38.00,Coffee
2024-04-20,Transport,16.00,Taxi
2024-04-22,Health,60.00,Dental
2024-04-25,Food,55.00,Grocery shopping
2024-05-01,Food,43.00,Grocery shopping
2024-05-04,Transport,19.00,Uber
2024-05-07,Entertainment,40.00,Museum ticket
2024-05-10,Food,68.00,Restaurant
2024-05-12,Bills,120.00,Electricity bill
2024-05-15,Shopping,130.00,Furniture
2024-05-18,Food,36.00,Bakery
2024-05-20,Transport,17.00,Bus
2024-05-22,Health,55.00,Pharmacy
2024-05-25,Food,50.00,Grocery shopping
